name,price,condition,posted_time,seller_name,url,description
Airpods Gen 2,S$45,Heavily used,moments ago by,jaydienlim,https://www.carousell.sg/p/airpods-gen-2-1267698234/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=5,Airpods charger is not included
Airpods Pro 2 Case,S$8,Brand new,an hour ago by,missyenen,https://www.carousell.sg/p/airpods-pro-2-case-1267694472/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=15,Is Snorlax & Mario
Airpods gen 2,S$50,Brand new,3 hours ago by,daniella123445,https://www.carousell.sg/p/airpods-gen-2-1267669632/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=33,"Fast deal $50 at oasis lrt
Brand new"
Apple AirPods Pro 2 (USB-C) New Edition| Brand New Original sealed Local Set | 1 Year Local Apple Warranty 🇸🇬 #LMALL,S$295,Brand new,3 hours ago by,litemobile_official,https://www.carousell.sg/p/apple-airpods-pro-2-usb-c-new-edition-brand-new-original-sealed-local-set-1-year-local-apple-warranty-🇸🇬-lmall-1218299903/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=31,"Mobile Wholesale Singapore 新加坡手机批发 
☎️ 91057653 / 90014651 ☎️
HOT DEAL 🔥🔥🔥

♻️ TRADE IN WELCOME 欢迎折旧换机 ♻️

Model :
 
Apple AirPods Pro 2 2022 (2nd Generation)

Lighting Charging Case - $295 🔥
Type C Charging Case     - $318 🔥

👉 Brand New Sealed Non-Activated Local Set
👉 1 Year Local Apple Warranty 🇸🇬


Outlet code : LMALL

Warranty : Local 1 Year Apple Warranty 

#apple #airpods #airpodspro2 #pro2
#lighting  #usbc  #typec #cheapest #litemobile"
Air pods gen 3,S$220,Brand new,an hour ago by,jaydienlim,https://www.carousell.sg/p/air-pods-gen-3-1267696511/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=8,None
AirPods Pro Gen 2,S$220,Like new,2 hours ago by,jamal_jamerson,https://www.carousell.sg/p/airpods-pro-gen-2-1267685357/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=18,"AirPods Pro Gen 2
9.5/10"
Airpods Gen 3 with MagSafe Charging Case,S$200,"S$4.60, within 3 - 5 working day(s)",3 hours ago by,swish_kicks,https://www.carousell.sg/p/airpods-gen-3-with-magsafe-charging-case-1267674107/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=32,"^^^FOLLOW US HERE^^^ 
IG: instagram.com/swishkicks.co/ 
Shopee: shopee.sg/swishkicks.co
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Apple Airpods Gen 3 with MagSafe Charging
100% authentic (with original box & invoice)

Condition: BNIB ( Brand New)

Price: $200     (Warranty until June 2024)

PM me for more pictures and information"
Airpods Pro Case,S$8,Brand new,an hour ago by,missyenen,https://www.carousell.sg/p/airpods-pro-case-1267695364/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=10,Skippy Peanut Case
AirPods Cleaning Tool - Multi-Function Pen Tip with Brush and Flocking Sponge for AirPod Pro Gen 2/1/Air Pods 3/2/1,S$15.90,"S$3.00, within 4 working day(s)",2 hours ago by,starzandmo60088,https://www.carousell.sg/p/airpods-cleaning-tool-multi-function-pen-tip-with-brush-and-flocking-sponge-for-airpod-pro-gen-2-1-air-pods-3-2-1-1267676850/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=28,AirPods Cleaning Tool - Multi-Function Pen Tip with Brush and Flocking Sponge for AirPod Pro Gen 2/1/Air Pods 3/2/1
airpods 3rd gen case,S$10.50,Brand new,4 hours ago by,brandednn1,https://www.carousell.sg/p/airpods-3rd-gen-case-1267659940/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=0,can nego
