name,selling_price,original_price,warranty,width,depth,height,color,material
Endoo Desk,S$479.00,S$719.00,Warranty:3-Year,100,54,181.50,"Cabinet Storage, Shelf Storage, Drawer(s) Storage, With Top Shelf",3-Year
Auliffe 1.2M Study Desk With Shelf Set (Greige/Natural),S$309.00,S$549.00,Warranty:3-Year,120,56,75,"Shelf Storage, Drawer(s) Storage, With Top Shelf",Melamine
Boro Computer Table,S$156.90,S$281.90,Warranty:1-Year,120,60,76.50,Oak,Particle Board
Ordella Study Desk,None,None,Warranty:1-Year,120,60,160,"Shelf Storage, With Top Shelf",MDF Wood
Cory II Writing Table,S$539.00,S$809.00,Warranty:3-Year,120,55,170,"Cabinet Storage, Shelf Storage, Drawer(s) Storage, Locking Drawer/Cabinet, With Top Shelf",MDF Wood
Duvessa Extendable Study Desk with Storage on the Left,S$449.00,S$809.00,Warranty:3-Year,140 - 170,55,76,"Extendable Tabletop, Cabinet Storage, Drawer(s) Storage",Melamine
Ryland Corner Study Desk Set (Off-White/Birch),S$469.00,S$849.00,Warranty:3-Year,"Shelf Storage, With Top Shelf",None,None,3-Year,Free Assembly Included
Gael 1.2M Electric Adjustable Table,S$184.90,S$332.90,Warranty:3-Year,120,60,72.5 - 117.5,Particle Board,20.00
Imelda Adjustable Children's Study Desk (Blue),S$482.90,S$868.90,Warranty:2-Year,"Cabinet Storage, Shelf Storage, Drawer(s) Storage, Height Adjustable, Ergonomic, Tiltable Tabletop",Blue,100 - 124.5,120 (133.5 with Handle),60
Davian 1.4M Study Desk with Guivret Chair Set (Natural/Pink),S$459.00,S$826.00,Warranty:3-Year,Natural,"Shelf Storage, Drawer(s) Storage",None,3-Year,Free Assembly Included
Imelda V Adjustable Children's Study Desk and Chair (Pink),None,None,Warranty:2-Year,Pink,"Drawer(s) Storage, Height Adjustable, Ergonomic, Tiltable Tabletop",None,2-Year,Free Assembly Included
Mireille Study Desk,S$249.00,S$379.00,Warranty:1-Year,110,55,76,Drawer(s) Storage,Particle Board
Rostem Study Desk With Pedestal,S$409.00,S$619.00,Warranty:3-Year,100,50.50,75.50,Locking Drawer/Cabinet,3-Year
Ammiel Study Desk III,S$469.00,S$709.00,Warranty:3-Year,"Cabinet Storage, Shelf Storage, Drawer(s) Storage, Keyboard Tray",None,None,3-Year,Free Assembly Included
Mission Desk (3-Drawer),S$450.00,S$680.00,Warranty:10-Year,78.50,120,59.50,"Work Desk, Study Desk","Solid Wood, Teak Wood"
Vilma Curved Study Desk with Storage(Walnut),S$449.00,S$808.00,Warranty:3-Year,120,120,195,"Cabinet Storage, Shelf Storage, Drawer(s) Storage, With Top Shelf","MDF Wood, Melamine, Particle Board"
